"","OTUID","mean_abundance","sd_abundance"
"1","g__Acremonium",0.000580190715432989,0.0019208128854717
"2","g__Acrophialophora",0.000270827509085826,0.0010833100363433
"3","g__Akanthomyces",6.74032940108034e-05,0.000269613176043214
"4","g__Alternaria",0.0129453864646084,0.02592556660028
"5","g__Apiotrichum",0.00493962247711406,0.0164175820315197
"6","g__Aspergillus",0.0795726700081038,0.100449034096729
"7","g__Aureobasidium",0.00610806572139735,0.0152531414094393
"8","g__Bisifusarium",6.70718621162051e-05,0.000218560647197211
"9","g__Bjerkandera",0,0
"10","g__Botryotrichum",0,0
"11","g__Bullera",2.05100858347092e-05,8.20403433388369e-05
"12","g__Cadophora",0,0
"13","g__Candida",0.00992338426017944,0.0128877364572826
"14","g__Capnodiales_gen_Incertae_sedis",0,0
"15","g__Cephaloascus",0.000912740039820212,0.00286811985262293
"16","g__Ceratocystidaceae_gen_Incertae_sedis",0.000187897533358563,0.00055261673367458
"17","g__Chaetomium",0.00565168618796302,0.0129509825660079
"18","g__Chaetothyriales_gen_Incertae_sedis",0,0
"19","g__Chordomyces",0.000112777530793169,0.000451110123172677
"20","g__Citeromyces",0,0
"21","g__Cladosporium",0.020443001055946,0.0269173565027148
"22","g__Clavispora",0.000290446358666334,0.000684028265350287
"23","g__Cleistothelebolus",2.12898830475758e-05,8.51595321903032e-05
"24","g__Clonostachys",0.000280036960520237,0.00112014784208095
"25","g__Coniochaeta",0.00192161521508242,0.00586076111334318
"26","g__Coniosporium",0,0
"27","g__Coniothyrium",9.42459130185021e-05,0.000376983652074008
"28","g__Cosmospora",0,0
"29","g__Cryptococcus",0.000213514195483938,0.000715368029202788
"30","g__Curvibasidium",0.000937853591977659,0.00351775684968302
"31","g__Curvularia",1.34597438290279e-05,5.38389753161117e-05
"32","g__Cutaneotrichosporon",0.000674432952980946,0.00130830947472484
"33","g__Cyberlindnera",0.000360790305524464,0.000997776475299145
"34","g__Cyphellophora",8.17377211642994e-05,0.000249696375302493
"35","g__Cystobasidium",0.004212205548529,0.0115585291907681
"36","g__Cystofilobasidiaceae_gen_Incertae_sedis",1.85872652877052e-05,7.43490611508209e-05
"37","g__Cystofilobasidium",0.019211100493363,0.0603886757372133
"38","g__Cytospora",8.97316255268528e-06,3.58926502107411e-05
"39","g__Debaryomyces",0.000250715302439936,0.00100286120975974
"40","g__Dictyosporiaceae_gen_Incertae_sedis",2.61126150043086e-05,0.000104450460017234
"41","g__Didymella",0.0241317524231999,0.0716811218301723
"42","g__Dioszegia",8.52450442505102e-05,0.000340980177002041
"43","g__Diplodia",0,0
"44","g__Dipodascus",7.69128218801596e-06,3.07651287520638e-05
"45","g__Diutina",9.70740957517844e-05,0.000215288388350224
"46","g__Effuseotrichosporon",0,0
"47","g__Eucasphaeria",0,0
"48","g__Exophiala",0.000343759324555412,0.000919881457607779
"49","g__Filobasidium",0.00454713208320287,0.00833132625552382
"50","g__Fomitopsis",5.66131328090178e-05,0.000226452531236071
"51","g__Fungi_gen_Incertae_sedis",0.0368579393064593,0.145103349956463
"52","g__Fusarium",0.00412346740877374,0.00557216693549743
"53","g__Fusicolla",3.23805360597745e-05,0.000129522144239098
"54","g__Galactomyces",0.000300058297040568,0.00120023318816227
"55","g__Geotrichum",0.0318954349930862,0.10377108920891
"56","g__Gibberella",0,0
"57","g__Gibellulopsis",0,0
"58","g__Hannaella",7.58918813900964e-06,3.03567525560386e-05
"59","g__Hanseniaspora",0,0
"60","g__Hormonema",0.000121137694461251,0.000484550777845005
"61","g__Huntiella",0,0
"62","g__Hyphopichia",0.000403574238908367,0.00131098628350115
"63","g__Inopinatum",0,0
"64","g__Iodophanus",0.000164455232742952,0.000418308055827737
"65","g__Irpex",0.000396563217840238,0.00148295998563425
"66","g__Issatchenkia",0.00050479358218511,0.00101416683890414
"67","g__Kazachstania",3.38983736875764e-05,0.000135593494750306
"68","g__Kluyveromyces",0,0
"69","g__Knufia",8.75918330721904e-05,0.000252726943116038
"70","g__Kurtzmaniella",0.000320126400246406,0.000985784302122068
"71","g__Kwoniella",9.61410273501995e-06,3.84564109400798e-05
"72","g__Lasiobolidium",0.00156355235074008,0.00484998735565443
"73","g__Lecanicillium",0,0
"74","g__Leptographium",0,0
"75","g__Leucosporidium",8.67923693729744e-05,0.000333741264169396
"76","g__Malassezia",0.00127715784219584,0.00358145681130227
"77","g__Meyerozyma",0.000289401041034234,0.00115760416413694
"78","g__Microascus",5.9930088827288e-05,0.000239720355309152
"79","g__Mortierella",0.000328161373355347,0.00131264549342139
"80","g__Mrakia",0.000941027211967724,0.00255685571095509
"81","g__Mucor",0.0737049829011666,0.111089936026472
"82","g__Naganishia",0.0174410469112944,0.0217096191735772
"83","g__Nakazawaea",0,0
"84","g__Neoascochyta",8.97580123985735e-05,0.000359032049594294
"85","g__Neocucurbitaria",8.20403433388369e-05,0.000328161373355347
"86","g__Neophaeotheca",4.08009609442322e-05,0.000163203843776929
"87","g__Neopyrenochaeta",1.21656474557576e-05,4.86625898230304e-05
"88","g__Neosetophoma",0,0
"89","g__Nigrospora",5.83255565924543e-05,0.000233302226369817
"90","g__Oidiodendron",0.000132176922605369,0.000322326890266349
"91","g__Ophiostoma",0.00102126692029094,0.00268941881126631
"92","g__Orbilia",0,0
"93","g__Paecilomyces",0.00177377659785906,0.00230981212217929
"94","g__Papiliotrema",0.000728963787808176,0.00148612926297375
"95","g__Paraphoma",0.000200668370157777,0.000734588921101144
"96","g__Parapyrenochaeta",0,0
"97","g__Penicillium",0.222178946044688,0.276936954076009
"98","g__Periconia",0.000149728527301657,0.000494375097527279
"99","g__Petriella",6.8580599509809e-05,0.000274322398039236
"100","g__Phaeococcomyces",0.000195261447176794,0.000689614568804197
"101","g__Phaeoisaria",8.97316255268528e-06,3.58926502107411e-05
"102","g__Phanerochaete",0.000763634864020544,0.0027087889041463
"103","g__Phialemonium",0,0
"104","g__Pichia",0.000564877210266822,0.00206832439333158
"105","g__Piskurozyma",0.00373352471745365,0.00850516231469771
"106","g__Plectosphaerella",0,0
"107","g__Pleurostoma",0,0
"108","g__Preussia",1.66644447407012e-05,6.6657778962805e-05
"109","g__Proceropycnis",3.504038178725e-05,9.60047978367483e-05
"110","g__Pseudogymnoascus",0.000116471339897325,0.000308917829929745
"111","g__Pseudopithomyces",0.00174857668807675,0.00431586357237681
"112","g__Pseudotremella",0,0
"113","g__Pyrenochaetopsis",0.000300195263125779,0.00120078105250312
"114","g__Ramularia",0.000105437238460139,0.0003069187835707
"115","g__Rhizopus",0.129230568268975,0.181127345413663
"116","g__Rhodosporidiobolus",0.0153442772151621,0.0330462579867893
"117","g__Rhodotorula",0.00886601479495972,0.0225050510535196
"118","g__Rozellomycota_gen_Incertae_sedis",0,0
"119","g__Sarocladium",0.000207829747282395,0.000719383384271803
"120","g__Scopulariopsis",5.87808332678261e-05,0.000188058101211262
"121","g__Sistotrema",0.000110513256594906,0.000290840897946178
"122","g__Spermospora",2.26419585140117e-05,6.3371916239027e-05
"123","g__Spissiomyces",3.58926502107411e-05,0.000143570600842965
"124","g__Spizellomycetales_gen_Incertae_sedis",0.000749208080734916,0.00293474761022116
"125","g__Sporidiobolus",0.00161474001796985,0.00398512290230591
"126","g__Sporobolomyces",1.41006840113626e-05,5.64027360454504e-05
"127","g__Stachybotrys",2.39365637539495e-05,9.57462550157981e-05
"128","g__Stagonosporopsis",0,0
"129","g__Starmerella",3.89846032858154e-05,0.000110933741569871
"130","g__Symmetrospora",0.000164712310302686,0.000333592353065308
"131","g__Syncephalastrum",0.000308481777133358,0.000514543140650963
"132","g__Talaromyces",0.0198673613196824,0.0336851434805162
"133","g__Tausonia",0.0010571958791789,0.0017647669409314
"134","g__Tetracladium",7.78233743225332e-05,0.000229276357886362
"135","g__Thielaviopsis",9.10135058915222e-05,0.000364054023566089
"136","g__Torula",3.84201174058622e-05,0.000106031958777679
"137","g__Trametes",0.00106775665570353,0.00215580270359467
"138","g__Tremellales_gen_Incertae_sedis",0,0
"139","g__Tricellula",0,0
