"","OTUID","mean_abundance","sd_abundance"
"1","g__Acremonium",0.000277103231148453,0.00113193345784502
"2","g__Acrophialophora",0.000122277233907551,0.000595297812556108
"3","g__Akanthomyces",1.24008429332245e-05,6.34700177312363e-05
"4","g__Alternaria",0.00165819345604066,0.00462436094596132
"5","g__Apiotrichum",0.0415671819377983,0.162601786977271
"6","g__Aspergillus",0.0514875275471739,0.148187098445097
"7","g__Aureobasidium",0.0508595478215552,0.15129503973038
"8","g__Bisifusarium",0.000324692133864706,0.00162349288305745
"9","g__Bjerkandera",5.61542029962932e-05,0.000284253134357881
"10","g__Botryotrichum",8.96189068814426e-05,0.000620898000149771
"11","g__Bullera",5.41326906231985e-05,0.000233187311439256
"12","g__Cadophora",0,0
"13","g__Candida",0.0852487463593195,0.200984886543042
"14","g__Capnodiales_gen_Incertae_sedis",1.77087967036907e-05,9.34512197675688e-05
"15","g__Cephaloascus",0.000812423423788402,0.00183805106572759
"16","g__Ceratocystidaceae_gen_Incertae_sedis",0.000168677160903279,0.000695661226845584
"17","g__Chaetomium",0.000702309518757143,0.0029813425067199
"18","g__Chaetothyriales_gen_Incertae_sedis",0.00593780124751299,0.0406104389352917
"19","g__Chordomyces",0.000216513862770876,0.00131376074097599
"20","g__Citeromyces",7.48441154784078e-05,0.00034469361110956
"21","g__Cladosporium",0.0891280221650203,0.193377234029396
"22","g__Clavispora",0.00101284270172693,0.00543918485641545
"23","g__Cleistothelebolus",1.26527348877437e-05,6.81867999963209e-05
"24","g__Clonostachys",1.25386818334562e-06,8.68705359819482e-06
"25","g__Coniochaeta",0.0036585614702602,0.00991998145882865
"26","g__Coniosporium",0.00044814643087936,0.00191579729134103
"27","g__Coniothyrium",0.000201343174425752,0.000684835330408988
"28","g__Cosmospora",5.63048169339875e-05,0.00030730548215
"29","g__Cryptococcus",0.00913829780734639,0.0385018677302533
"30","g__Curvibasidium",0.000149731527225796,0.000671809011291834
"31","g__Curvularia",5.50991404534089e-05,0.000381738042874712
"32","g__Cutaneotrichosporon",0.0454959443625376,0.143173778294329
"33","g__Cyberlindnera",0.000293343207291799,0.00176880826859989
"34","g__Cyphellophora",0.00424716305143913,0.0247187230650058
"35","g__Cystobasidium",0.0184100912673638,0.066457012701146
"36","g__Cystofilobasidiaceae_gen_Incertae_sedis",7.01160827104073e-06,4.85778470728509e-05
"37","g__Cystofilobasidium",0.0166324245834247,0.0421247948207777
"38","g__Cytospora",1.45018330316952e-05,0.000100471646455107
"39","g__Debaryomyces",0.0129713927691956,0.0606153691540578
"40","g__Dictyosporiaceae_gen_Incertae_sedis",0.000337801519013122,0.000868422064267591
"41","g__Didymella",0.067659122846366,0.189042513673319
"42","g__Dioszegia",0.00687374948279368,0.0362739994394525
"43","g__Diplodia",0,0
"44","g__Dipodascus",5.62120211194478e-05,0.000275356986798979
"45","g__Diutina",7.06033264483486e-05,0.000385317381601357
"46","g__Effuseotrichosporon",5.85708357640227e-05,0.000231780872155672
"47","g__Eucasphaeria",9.48818043808285e-06,6.57360423605625e-05
"48","g__Exophiala",0.0110809962495197,0.0342229448324762
"49","g__Filobasidium",0.00832060196328164,0.0193499999933184
"50","g__Fomitopsis",4.55766914739519e-05,0.000228408916875515
"51","g__Fungi_gen_Incertae_sedis",0.0107849211005097,0.0584597822685318
"52","g__Fusarium",0.0678290759662401,0.188543975525912
"53","g__Fusicolla",0.000355322346922019,0.00161643736216218
"54","g__Galactomyces",0.000486551114515942,0.00299773776229233
"55","g__Geotrichum",0.00403430068143654,0.00929907438231475
"56","g__Gibberella",0.000133349563455158,0.000609127205502151
"57","g__Gibellulopsis",0.000197005650335362,0.00102854363673364
"58","g__Hannaella",7.00630562012688e-05,0.000467989794955085
"59","g__Hanseniaspora",4.56062410799558e-06,3.15969306770873e-05
"60","g__Hormonema",0.000207026478925682,0.00121147649706479
"61","g__Huntiella",0.000585531822500769,0.00288072061954724
"62","g__Hyphopichia",9.26162202321779e-05,0.000458842615291953
"63","g__Inopinatum",0.000115229810438847,0.000798335544906455
"64","g__Iodophanus",3.45929790089803e-06,2.3966718891487e-05
"65","g__Irpex",3.46744590784384e-05,0.000240231699395293
"66","g__Issatchenkia",1.57205933118479e-05,7.07049792389091e-05
"67","g__Kazachstania",0.00111249870384061,0.00532841249755825
"68","g__Kluyveromyces",0.000318411474344964,0.00169222000190147
"69","g__Knufia",0.000147109913697169,0.000922612127265289
"70","g__Kurtzmaniella",0.000192230466646588,0.00133181173997826
"71","g__Kwoniella",5.36447206355302e-05,0.000365075803351157
"72","g__Lasiobolidium",0.000595515026446402,0.0030775656428228
"73","g__Lecanicillium",0.00154173558210074,0.00918922572573216
"74","g__Leptographium",0,0
"75","g__Leucosporidium",0.0104586962257528,0.0427566963039635
"76","g__Malassezia",0.00079650347589154,0.00470725157869495
"77","g__Meyerozyma",0.0113011122710407,0.0504087645587995
"78","g__Microascus",0,0
"79","g__Mortierella",0,0
"80","g__Mrakia",0.000346695465100272,0.00109934465023238
"81","g__Mucor",0.0199543127722956,0.102303677561446
"82","g__Naganishia",0.0127179609401064,0.0278124036762005
"83","g__Nakazawaea",0,0
"84","g__Neoascochyta",0.000895393730170637,0.00543936185357451
"85","g__Neocucurbitaria",0.000184315597683687,0.000545908995434848
"86","g__Neophaeotheca",4.84283884641844e-06,1.99860388771143e-05
"87","g__Neopyrenochaeta",0.000546778276166004,0.0029419513936945
"88","g__Neosetophoma",0.000787635566383863,0.00401911331673611
"89","g__Nigrospora",1.35419882888885e-06,9.38216470074306e-06
"90","g__Oidiodendron",9.94967611298938e-05,0.000689333781862081
"91","g__Ophiostoma",0.00244848516822345,0.00807410323257353
"92","g__Orbilia",6.06327575952498e-05,0.000297260365136804
"93","g__Paecilomyces",0.00150453204035523,0.00485691819317066
"94","g__Papiliotrema",0.00185358318373714,0.00601274249090625
"95","g__Paraphoma",0.00161548759574119,0.00772291563721467
"96","g__Parapyrenochaeta",5.84931964259244e-05,0.000391133224532925
"97","g__Penicillium",0.059250694988383,0.145713883422791
"98","g__Periconia",0,0
"99","g__Petriella",3.41695760394696e-05,0.000174207755650833
"100","g__Phaeococcomyces",2.09203363373588e-05,7.25601767287617e-05
"101","g__Phaeoisaria",2.45584431406716e-05,0.000140058919606823
"102","g__Phanerochaete",2.36984795055549e-06,1.64187882263004e-05
"103","g__Phialemonium",0.000196438337122257,0.00131017374048134
"104","g__Pichia",8.39364149075865e-05,0.000225879601886415
"105","g__Piskurozyma",0.00400418991405401,0.01865214466112
"106","g__Plectosphaerella",0.00566764786694647,0.0324723660563036
"107","g__Pleurostoma",0.000458935061174907,0.00207376270293802
"108","g__Preussia",3.39608532174337e-05,0.000107317951661971
"109","g__Proceropycnis",7.02708293981669e-06,4.86850587230519e-05
"110","g__Pseudogymnoascus",0.000644551778766928,0.00172441711377508
"111","g__Pseudopithomyces",0.000286349997548274,0.000912739863616454
"112","g__Pseudotremella",3.24408011822945e-05,0.000198440944969258
"113","g__Pyrenochaetopsis",0.000130859000310155,0.000862256184156214
"114","g__Ramularia",9.12666903960062e-06,6.32314179218165e-05
"115","g__Rhizopus",0.0051755355296486,0.0170178813076059
"116","g__Rhodosporidiobolus",0.0120821451118133,0.0286270559677711
"117","g__Rhodotorula",0.0092756808701049,0.0178602324074852
"118","g__Rozellomycota_gen_Incertae_sedis",0.00308106760211358,0.00893372969636012
"119","g__Sarocladium",0.000963912702289443,0.00539168923849368
"120","g__Scopulariopsis",0.00024338573735333,0.000721796297678943
"121","g__Sistotrema",2.29057291809827e-06,1.58695546903501e-05
"122","g__Spermospora",0.00160450853419645,0.00817140821801197
"123","g__Spissiomyces",8.77688836920557e-05,0.000347963332466461
"124","g__Spizellomycetales_gen_Incertae_sedis",1.8814420901961e-05,0.000125752580489848
