"","OTUID","mean_abundance","sd_abundance"
"1","g__Acremonium",0.0208114097881038,0.0929946565748456
"2","g__Acrophialophora",0,0
"3","g__Akanthomyces",2.62814852192927e-05,0.000117534374999989
"4","g__Alternaria",0.000169312828413242,0.00032010630207935
"5","g__Apiotrichum",0.000326497617414252,0.000564590006057095
"6","g__Aspergillus",0.00423364207337565,0.00969596527886803
"7","g__Aureobasidium",0.00159551136284287,0.0034230314374919
"8","g__Bisifusarium",4.27287821076277e-06,1.91088922776865e-05
"9","g__Bjerkandera",0,0
"10","g__Botryotrichum",0,0
"11","g__Bullera",0,0
"12","g__Cadophora",1.76798585611315e-05,7.90667311505434e-05
"13","g__Candida",0.00329972735541566,0.00679055163878435
"14","g__Capnodiales_gen_Incertae_sedis",0,0
"15","g__Cephaloascus",0.000105959056361504,0.000231805254308792
"16","g__Ceratocystidaceae_gen_Incertae_sedis",0,0
"17","g__Chaetomium",5.06593830208972e-05,0.000130181031132166
"18","g__Chaetothyriales_gen_Incertae_sedis",0,0
"19","g__Chordomyces",0.0946866875183602,0.253129702255193
"20","g__Citeromyces",0,0
"21","g__Cladosporium",0.0671280156281763,0.162383081687605
"22","g__Clavispora",5.52437285798551e-05,0.000133560211166663
"23","g__Cleistothelebolus",5.74021595296648e-06,2.56710261527236e-05
"24","g__Clonostachys",0,0
"25","g__Coniochaeta",0.000143296180241681,0.000340617402905678
"26","g__Coniosporium",0,0
"27","g__Coniothyrium",0.000145235880906578,0.000649514604958343
"28","g__Cosmospora",4.42728741761156e-05,0.000173417817759126
"29","g__Cryptococcus",9.22679461155195e-06,4.12634799317178e-05
"30","g__Curvibasidium",2.11481640372449e-06,9.45774647731921e-06
"31","g__Curvularia",0,0
"32","g__Cutaneotrichosporon",0.000198369512325643,0.000360835477005641
"33","g__Cyberlindnera",0.000165198609879415,0.00047728912572465
"34","g__Cyphellophora",0.00760470558257874,0.017372541319638
"35","g__Cystobasidium",0.0275393765896888,0.0844609948647768
"36","g__Cystofilobasidiaceae_gen_Incertae_sedis",0,0
"37","g__Cystofilobasidium",0.00387323336032419,0.0141651708187187
"38","g__Cytospora",0,0
"39","g__Debaryomyces",0.0900379628694041,0.240792914053161
"40","g__Dictyosporiaceae_gen_Incertae_sedis",0.00500697043820033,0.0157809907770185
"41","g__Didymella",0.279159087405579,0.385871228183019
"42","g__Dioszegia",0.000142620859790028,0.00063781987499994
"43","g__Diplodia",0,0
"44","g__Dipodascus",0,0
"45","g__Diutina",2.65877895576457e-05,0.000118904209644709
"46","g__Effuseotrichosporon",1.33653299525449e-05,4.76034796068705e-05
"47","g__Eucasphaeria",0,0
"48","g__Exophiala",0.070872699801109,0.139257097596127
"49","g__Filobasidium",0.00498757313351255,0.014331989306687
"50","g__Fomitopsis",0,0
"51","g__Fungi_gen_Incertae_sedis",0.0476996080210352,0.208485484285111
"52","g__Fusarium",0.0965510777787646,0.240224282546615
"53","g__Fusicolla",0.000774853347130321,0.00213268047241368
"54","g__Galactomyces",0,0
"55","g__Geotrichum",0.000783184205440403,0.00105467602124871
"56","g__Gibberella",0,0
"57","g__Gibellulopsis",0,0
"58","g__Hannaella",9.15502028909173e-06,2.82483274990284e-05
"59","g__Hanseniaspora",0,0
"60","g__Hormonema",0,0
"61","g__Huntiella",1.54132100276531e-05,6.89299707466275e-05
"62","g__Hyphopichia",0,0
"63","g__Inopinatum",0,0
"64","g__Iodophanus",2.85383865699485e-05,8.8149550387604e-05
"65","g__Irpex",2.80335842339122e-06,1.25369999999988e-05
"66","g__Issatchenkia",0.000174442940860998,0.000614945578778942
"67","g__Kazachstania",2.83901372663137e-06,1.26964553636055e-05
"68","g__Kluyveromyces",1.05125940877171e-06,4.70137499999956e-06
"69","g__Knufia",0,0
"70","g__Kurtzmaniella",6.23267864572224e-05,0.000200743075256112
"71","g__Kwoniella",0,0
"72","g__Lasiobolidium",0,0
"73","g__Lecanicillium",0,0
"74","g__Leptographium",0,0
"75","g__Leucosporidium",0.0104947836555956,0.0307482140150447
"76","g__Malassezia",5.97464225235515e-05,0.000146214549498212
"77","g__Meyerozyma",0.000324696923210889,0.00134004199858796
"78","g__Microascus",0,0
"79","g__Mortierella",0,0
"80","g__Mrakia",0.000364555940655521,0.00159442417577625
"81","g__Mucor",0.00125165678107176,0.00208354429326655
"82","g__Naganishia",0.00131077165886863,0.00229714242712
"83","g__Nakazawaea",2.34781267959015e-05,0.00010499737499999
"84","g__Neoascochyta",0,0
"85","g__Neocucurbitaria",5.29735838395254e-06,2.36905068953926e-05
"86","g__Neophaeotheca",5.73294148175416e-06,2.56384937284613e-05
"87","g__Neopyrenochaeta",4.62554139859552e-05,0.000206860499999981
"88","g__Neosetophoma",0,0
"89","g__Nigrospora",2.44164469186444e-06,1.09193670158208e-05
"90","g__Oidiodendron",0.000150471913462345,0.000672930854412537
"91","g__Ophiostoma",2.44624117808538e-05,5.1219325137132e-05
"92","g__Orbilia",5.666621333696e-05,0.000253419010097895
"93","g__Paecilomyces",0.000160951990725727,0.000608152986821708
"94","g__Papiliotrema",0.00030222798764725,0.000560376924807116
"95","g__Paraphoma",0.00311596314981355,0.00900228159946245
"96","g__Parapyrenochaeta",0,0
"97","g__Penicillium",0.00677137828512556,0.0125045093556413
"98","g__Periconia",4.8277401951614e-06,2.1590310508178e-05
"99","g__Petriella",0,0
