"","OTUID","mean_abundance","sd_abundance"
"1","g__Acremonium",0,0
"2","g__Acrophialophora",0.000335046787018839,0.00102567789618283
"3","g__Akanthomyces",0,0
"4","g__Alternaria",0.000489167109707163,0.00167943838558761
"5","g__Apiotrichum",0.0179293377771089,0.102350255147738
"6","g__Aspergillus",0.00453084290852947,0.0109980122904565
"7","g__Aureobasidium",0.0115706237298873,0.0460947608913178
"8","g__Bisifusarium",9.54236580031448e-05,0.000534664202109907
"9","g__Bjerkandera",0,0
"10","g__Botryotrichum",0,0
"11","g__Bullera",0,0
"12","g__Cadophora",6.40892121833592e-05,0.000400237001804009
"13","g__Candida",0.0496574307091007,0.19778574688887
"14","g__Capnodiales_gen_Incertae_sedis",0,0
"15","g__Cephaloascus",0.000476266339510579,0.0029742823369481
"16","g__Ceratocystidaceae_gen_Incertae_sedis",3.55320171526138e-05,0.00022189737599713
"17","g__Chaetomium",0.000232026999231817,0.00137934698974177
"18","g__Chaetothyriales_gen_Incertae_sedis",0,0
"19","g__Chordomyces",0.0252464689113437,0.15759258232141
"20","g__Citeromyces",0,0
"21","g__Cladosporium",0.0155511099303351,0.0376970638569004
"22","g__Clavispora",3.6210973416387e-05,0.000160187654854821
"23","g__Cleistothelebolus",0,0
"24","g__Clonostachys",0.00110565181815633,0.00622744459809825
"25","g__Coniochaeta",0.000845564580546524,0.00511657021280963
"26","g__Coniosporium",3.74496023967746e-05,0.000233872692008673
"27","g__Coniothyrium",7.44799389264501e-05,0.000465127069516516
"28","g__Cosmospora",0,0
"29","g__Cryptococcus",0.00236004766438041,0.0135411854257615
"30","g__Curvibasidium",0,0
"31","g__Curvularia",0,0
"32","g__Cutaneotrichosporon",0.0137146278196039,0.066421524584395
"33","g__Cyberlindnera",0,0
"34","g__Cyphellophora",0.000718510218669764,0.00352776983858954
"35","g__Cystobasidium",0.0133678830113087,0.04313451867383
"36","g__Cystofilobasidiaceae_gen_Incertae_sedis",0,0
"37","g__Cystofilobasidium",0.0117848300326205,0.0567113841556584
"38","g__Cytospora",0,0
"39","g__Debaryomyces",0,0
